Column1;Column2
meskipun sesaudara tidak akan sama watak dan tabiat diantara yang satu dengan saudaranya yang lai;tellor sapefarangan ta' ke?ra pa?a? kabbhi 
menemukan uang dan emas berpeti-peti.;nemmo pe?sse? ba?n emmas a?e?-pe??e?
baru saja dipetik;ghi' bhuru e?pe??e?k 
memetik bunga melati yang masih belum mekar;me??e?k kembha?ng malate? se? ghi' ta' mekkar
anak ayam yang baru menetas itu mencicit-cicit.;pe?te?' se? ghi' bhuru te??ha?s rowa yok-pe?yogha?n
jenis beras ketan yang kulitnya berbulu berwarna cerah;plotan bila? mambha?ng
jenis beras ketan yang kulitnya berbulu, butir padinya berwarna merah tua;plotan mane?s mata
titik terjauh di timur sampai pohon kelapa.;pocak te?mor gha?n bhungkana nye?yor
anak yang penakut itu sangat pucat wajahnya setelah dimarahi oleh gurunya;kana' se? tako'an rowa roba?na ce?' poceddha?, polana mare? e?ghighiri ghuruna
putik buah mangga berguguran setelah hujan deras tadi malam.;poce?ddha? pao arontoan samare?na ojha?n dherres malemma
sekarang banyak hutan ditebangi pepohonannya sampai tidak bersisa;sate?ya ba?nnya' alas se? e?pogherri ka'-bhungkaanna dha?gha? ta' akare?
menebang kayu jati yang sudah mati menggunakan gergaji mesi;mogher kaju jha?te? se? ella mate? ngangghuy ga?rgha?jhi messin
memuji syukur ke~adirat Allah;mojhi sokkor ka ajunan Alla
pujianku untukmu jangan ragukan lagi.;pamojbi bula? ka dhika pon jha?' kamangmang pole?
jam tujuh lewat lima belas menit.;polo pe?tto' le?ba?t le?ma bella?s menne?t
barangkali kamu masih belum percaya;la-pola ba?'na ghi' ta' parcaja?
anaknya yang kecil menangis terus barangkali belum diberi susu.;ana'na se? ke?ne?' nange?s malolo la-pola ghi' ta' e?sosoe?
jatuh karena licin;labu polana le?ce?n
adiknya menangis karena minta dlbelikan jaja;ale?'na nange?s polana me?nta melle? jha?jha?n
tidak lama lagi pasti pulang.;ta' abit pole? paste? mole?
dikatakan kepada orang yang bentuk tubuhnya kecil tetapi ternyata kuat;lo'-moto'a ke?ne?' ore?ngnga ce?' kellarra 
berkumpul untuk berembukan;apolong kaangghuy abha?k-rembha?k
senyampang belum dimulai, segera jemput temanmu.;pompang ghi' ta' e?malae?, dhuli sosol kancana
sudah jangan diambil.;pan jha?' kala'
aku tidak bisa memungkiri bahwa aku mencintaimu.;bula? ta' bisa mongke?re? ate? jha?' bula? tare?sna ka dhika
lima bulan yang lalu.;le?ma bula?n se? tapongkor
gelisah hatiku memikirkan dirimu.;posang ate? bula? me?kke?re? dhika
bunga melati, cempaka, kenanga memenuhi halaman rumah;kembha?ng malate?, cempaka , kananga massa'e? palataran
kolamnya dipenuhi air.;kolamma e?possa'e? ae?ng
berwarna putih tulang;aba?ma pote? tolang
ayam berbulu putih polos;aja?m abulu pote? molos
dikatakan kepada orang yang kelihatannya alim, tapi sebenarnya berhati jahat;akan?a pote?na tellor 
dikatakan kepada orang yang mempunyai kekuasaan, segala keinginannya pasti terwujud karena segalanya bisa diukur dengan uang, uang adalah segala-galanya.;mapote?a ?a?ng?a?ng pote?, macellengnga dha?lko' celleng 
memetik bunga mawar;mo?e?k kembha?ng maba?r
jambu yang sudah masak cepat dipetik agar tidak dimakan kelelawar.;jha?mbhu se? ella massa' dhuli pote?k ma' le? ta' e?kakan bha?bbhuru
mematahkan ranting-ranting yang keras.;motel ca'-ranca' se? gherra?
orang sepuh itu banyak mempunyai anak cucu.;ore?ng seppo rowa ba?nnya'na' potona
mengusung piring ke dalam lumbung, hendak mengambil malan dengan gula, putusnya bambu bisa disambung, putus pikulan hilang sanak keluarga.;ngosong pe?re?ng ka ?a?lem lombhung, ngala' malan bha?reng so ghula?, potong perre?ng e?kenne?ng sambhung, potong pe?kolan e?lang sana' bha?la? 
mempunyai anak perempuan;gha??hua?n pottra bine?' , an?hi' ana' bine?' 
putra putri Madura, mari semuanya untuk bersama-sama dengan sungguh-sungguh mencintai adat Madura yang sudah lama tidak di gali.;pottra pottre? Madhura?, tore? sadha?ja?na pa?a? areng-sareng tarongghu tare?sna adha?t madhura? se? ampon abit ta' e?sarbi
berhati-hatilah akan tingkah lakumu.;bi' prajha?tna dhika prate?ngkana
bermaksud ingin menjadi oang yang berpengaruh, namun tidak berdaya karena tidak mempunyai kekuatan sama sekali.;mara prao tape?pe?t 
membeli gula seperempat kilo;melle? ghula? saprapat kilo
mendapat bagian hanya seperempat.;olle? ba?gia?n ke?ng coma saprapat
punya anak laki-laki sangat telate;an?i' ana' lake?' ce?' prate?nna
orang Cina kulitnya sangat putih-putih.;ore?ng Ce?na kole?'na ti-puti
ya Allah ya Tuhanku.;ya? Allah ya? Rabbi
baru saja datang.;ghi' bhuru rabu
bercepuk-cepuk di ombak yang dangkal.;acak-ke?cak e? omba?' se? ca-raca
ruji sepedanya berkarat karena tidak dibersihka;raca' sape??ana nayye?n polana ta' e?ghessot
mengenakan pakaian yang tembus pandang.;ngangghuy kalambhi ngara?a?ng
sampai besemangat untuk memperoleh bagia;dha?gha? adha?' raddha?'se? terro olle?a ba?gia?n
anak gadis itu sangat cantik sekali;paraba?n rowa ce?' raddhinna
dikatakan kepada orang yang suka sesumbar, namun tidak pernah terbukti akan ucapannya;raja? gha?lu?huggha? ta' ke?ra raja? ojha?nna 
sembahyang subuh dua rakaat.;abha?ja?ng sobbhu ?uwa?' rakaat
jodoh dan mati ada yang mengatur.;jhu?hu ba?n pate? ba??a? se? ngeraksa
jangan ramai-ramai banyak orang sedang tidur.;jha?' me?-ramme? ba?nnya' ore?ng te??ung
sempana keberkatan dengan anak cucu dalam kemakmuran, kesejahteraan sampai hari tua;rampa' naong ba?ringe?n korong adhungket roman 
burung emprit meloncat-loncat di ranting pepohona;mano' keddhi' ca'-lonca'an e? ranca'na ka'-bhungka'an
anaknya yang berumur satu ahun mulai belajar merangkak-rangkak.;ana'na se? aomor sataon molae? ajha?r ka'-rangka'an
rambutnya tumbuh jarang-jarang;obu'na tombu rang-rangang
saya jarang pulang ke Madura.;se?ngko' rangrang mole? ka Madhura?
merajut untaian lagu-lagu Madura;ngajum rareppe?n Madhura?
mempersembahkan lagu-lagu yang bagus dan menyenangkan untuk didengarka;ma?kta sowara rareppe?n se? aghur tor marem pe?rengnganna
perasaanku sungguh sedih;tang prasaan se??hi ongghu
dirasa-rasakan kok tidak selesai-selesai;e?sarassaaghi ma' ta' kaghik mare?
rasanya belum pulang.;rassana ghi' ta' mole?
silsilah keturunan raja Bangkalan;ron-tomoronna rato Bha?ngkalan
di alun-alun ratusan orang berkumpul menonton karapan sapi.;e? lonalon ratosa?n ore?ng pa?a? akompol ne?ngghu kerrabha?n sape?
tahu-tahu apinya menyala berkobar-kobar;mo-temmona apoyya rebbha?ng
besok hari Rabu, sekolah libur.;lagghu' are? rebbhu sakolaan pre?i
perawan cantik itu menjadi rebutan perjaka di desanya;paraba?n raddhin rowa dha?ddhi rebbhu'a?n lance?ng ngo?a? e? dhisana
ribet dengan anaknya;re?bet ba?n ana'
ribet mernakai kain panjang.;re?bet se? ngangghuy sampe?r
menggigit daging dengan sekuat tenaga karena sangat keras atau tidak mudah digigit.;nge?kke?' dha?ghing sambi cenpreccennan polana gha?li otaba? ta' powa
anak itu sangat ramah.;kana, rowa ce?' re?ce?na
gemar dalam mengerjakan sesuatu.;regghep se? akon-lakon
anggap saja sudah selesai;re?ken la mare?
saya dianggap bukan saudaranya;se?ngko' e?re?ken ba?nne? tare?tanna
berurai air mata karena sangat sedih.;beng-ngrembeng ae?ng mata amargha? ce?' se??hina
anaknya sudah lahir;ana'na ella re?mbi'
lahir pada saat hari besar.;re?mbi'e? are? raja?
langitnya mendung karena akan turun huja;langnge?'na ngaren?eng amargha? para' ojha?nna
jika berbicara jangan saling merajuk.;mon acacajha?' arendhia?n
biasanya kalau malam telah tiba banyak nyamuk mengerubung, lebih-lebih jika selokannya tidak terawat dengan baik;biyasana mon ella malem rengnge?' ngarobung, bi-lebbhi mon le?ke?na ta' karaba?t
dikatakan kepada orang yang tidak tahu diri, merasa mempunyai kemampuan yang besar serta sangat diperlukan oleh banyak orang.;rengnge?' ngale?ng aja?ga? kaju 
dirinya dalam keadaan tidak sejuk hati karena baru saja bangun tidur.;ba?' dhibi'na ghi' ta' renna amargha? ghi' bhuru jha?gha? te??ung
makanan ini sangat renyah.;kakanan re?ya ce?' rennyana
meniup api di tungku;nyare?po apoy e? tomang
meniup api menggunakan seropong.;nyare?po apoy ngangghuy sropong
mohon maaf bilamana saya merepotkan anda;saporana manabi kaula? ampon ngare?podhi sampe?yan
kalau ini bukan kepunyaanku;mon re?ya ba?nne? tang an?i
sandal ini milik siapa?;san?al re?ya an?i'na sapa?
ini saya berada disini.;re?ya, se?ngko' ba?ga? e? kanna'
ini daging buat sate.;re?ya dha?ghing gha?ba?y sate?
bungamelati berbau harum;kembha?ng malate? aba?u ro'om
setiap malam hati tidak menentu, terbayang akan waj ahmu.;sabbha?n malem ate? ta' nanto, e?kaba?ja?ng roba?na dhika
jika berjualan jangan sampai rugi;mon ajhuwa?la?n jha?' sampe?' rogi
rugi sedikit tidak mengapa, karena saya butuh uang;rogi ?hi??hi' ta' apa-rapa, amargha? se?ngko' parlo pe?sse?
ada yang untung ada yang rugi;ba??a? se? ontong ba??a? se? rogi
sembahyang maghrib tiga rakaat.;abha?ja?ng mahrib tello' rokaat
rokok yang dibungkus dengan kulit jagung yang tipis;roko' kole?'na jha?ghung
jika merokok tentunya kebul-kebulan, sudah lumrah kata orang di Madura, ikut saya tentunya jangan ngambek, terlanjur cinta akan menjadi seperti tingkah burung merpati.;mon aroko' tantona bhul-kebbhula?n, ca'na ore?ng kappra e? Madhura?, noro' se?ngko' tantona jha?' ngambhula?n, ka?ung tare?sna mara mano' dha?ra? 
pamanku tinggal di desa yang jauh dari kota;tang ghutte? aroma e? dhisa se? jha?u ?a?ri roma
rasa hati yang kegiranga;romasana ate? se? kape?ragha?n
merawat tanaman di belakang rumah;ngeromat tamennan e? bu?ina roma
membuang kotoran ke empat pembuangan sampah;mowang bu-rombu ?a?' sarpaan
tempat disini sangat kotor karena tidak pernah disapu;kennengngan e? ?iya? ce?' rombuna polana ta' toman e?sapoe?
perihal yang sepele dibesar-besarkan sehingga menjadi kendala besar dan sulit.;te?'-lette?' nge?re?t ronjha?ngan 
ayam serempak berkokok, bunyinya sangat nyaring.;aja?m saroju' pa?a? akronno', monye?na sanget lante?
rambutnya sampai luruh karena sakit panas yang sangat parah;obu'na dha?gha? ronto amargha? sake?' panas ce?' sarana
buah kelampok banyak berjatuhan terkena hujan deras tadi malam.;buwa? klampok ba?nnya' se? ronto e?kenne?ng ojha?n dherres malemma
tikus sering merusak tanaman padi;te?kos segghut ngarosak tamennan pa?i
banyak rumah yang rusak akibat gempa;ba?nnya' roma se? rosak e?kenne?ng le?n?hu
di desa banyak jalan yang rusak;e? dhisa jha?la?nna sak-rosak
barang yang sudah rusak dibuang.;bha?ra?ng se? ella rosak buwa?ng bha?i
surat ini sangat dirahasiaka;sorat re?ya ce?' rose?yana
perempuan itu genit, jika berbicara tidak senonoh.;ore?ng bine?' rowa le?te?r, mon acaca r6s6
tulang rusuknya patah akibat terjatuh bermain sepak bola.;tolang roso'na potong amargha? labu amae?n tembhung
orang kaya itu sangat royal;ore?ng soghi rowa ce?' royalla
dikatakan kepada orang yang kaku dalam bergaul karena tidak tahu sopan santu;akan?a sa' ar gherra?na 
harta yang menjadi rebutan antara ahli warisnya.;saba?na dha?ddhi ghe?ha?ng 
membuat seuatu kejahatan, bisa-bisa dirinya terkena akibatnya.;nyaba?' songgha? terjha?k dhibi' 
belum selesai sebab orangnya masih banyak pekerjaa;ghi' ta' mare? e?lakone?, saba?k ore?ngnga ghi' ba?nnya' lakona
rumah yang tidak ditempati itu banyak sawang-sawangnya.;roma se? ta' e?kennengnge? rowa ba?nnya' ba?ngsaba?ngnga
setiap memandangmu, aku tidak akan lupa lesung pipitmu.;sabbha?n mandheng dhika, bula? ta' ke?ra loppa amargha? pacek e? pe?pe?na
dulu ketika saya masih kecil sering bermain-main di tepi sungai, suatu ketika perahu terhanyut;sabbha?nna ba?kto se?ngko' ghi' ke?ne?' dhuja?n e?n-mae?nan e? pe?ngghir songay, se?ttong ba?kto toman talanyo'
bersabarlah! semoga Yang Maha Kuasa memberikan kelapangan dada.;bi' sabbha?r! malar mogha? Se? Koba?sa apare?ng kajhembha?ra?n ate?
hati-hatilah kalau menyeberangi jalan;bi' ngaste?te? manabi nyabbhra?ng jha?la?n
rumahku diseberang jala;tang roma e?sabbhra?ng jha?la?n
jam sebelas malam;pokol sabella?s malem
membaca Al-Fatiha sebelas kali;ma?ca fate?ba sabella?s kale?
membeli durian sebelas buah.;melle? dhurin sabella?s me?gghi'
sebelum diminta segera kembalika;sabellun e?pe?nta. dhuli paba?li
dulu pada jaman penjajahan, murid-murid sekolah jika menulis tidak menggunakan buku tapi menggunakan sabak.;sabbha?n ghi' jha?man panjha?jba?a?n, re?dmore?d sakolaan mon nole?s pangajha?ra?n ta' ngangghuy buku, tape? ngangghuy sabha?k
tali yang putus sudah disambung lagi.;tale? se? peggha?' mare? e?tabhung pole?
ayah saya meninggal dunia pada umur enam puluh tahu;rama kaula? se?dha? omor sabidha?k taon
memang sudah menyediaka;lakar la asa?iya?
anda sangat patut jika mengenakan pakaian yang berwarna hitam.;ce?' sae?na manabi panjhennengngan ngaghem rasogha?n se? aba?ma celleng
perahunya mengitari lautan;paraona alaja?r nge?dher sagha?ra?
tidak ada yang tahu isi hati seseorang.;sagha?ra? kenne?ng jha?jha?ghi, ngen-angenna ore?ng ta' kenne?ng tergha? 
anak-anak kecil itu sangat doyan makan sago;na' kana' ke?ne?' rowa ce?' dhuja?nna ngakan sagon
mulanya menangis biasa, tapi semakin lama semakin menjadi tangisannya;molana nange?s biyasa, tape? saja?n abit saja?n dha?ddhi tange?ssa
anaknya semakin besar semakin nakal.;ana'na saja?n raja? saja?n tambeng
sejak kecil sudah terlihat bakal menjadi orang yang pandai;sajjheggha? ke?ne?' la e?kate?la' bha?kal dha?ddhia? ore?ng pe?nter
sejak hidup tidak pernah menyusahkan orang lai;sajj he ggha? ogi' ta' toman nyossae? ore?ng lae?n
membeli semen lima belas sak.;melle? semme?n le?ma bella?s sak
terima kasih yang sebesar-besarnya atas kehadiran anda sekalia;mator sakalangkong se? ce?' raja?na atas rabu e?pon panjhennengngan sadha?ja?
sakit gigi geraham;sake?' ghighi gherrem
sakit panas dingin;sake?' panas cellep
sakit sesak nafas;sake?' seksek nyaba?
sakit bengkak gusi;sake?' ba?ra? ghuse?
sakit jerawat batu;sake?' jhen-a?ba?' ba?to
sakit perut yang kembung dan mengeras;sake?' ba?ntet tabu'
sakit pada bawah perut yang mengeras;sake?' ba?ntet bu-rabua?n
saking karena sangat sakit sampai berteriak-teriak;sake?ng ?a?ri sake?'na dha?gha? arat-iarat
saking bingungnya sampai tidak menyapa kepada temannya yang lewat;sake?ng bhingongnga dha?gha? ta' nyapa ?a?' kancana se? le?ba?t
anaknya yang berumur enam tahun disekolahkan di sekolah yang dekat dengan rumahnya.;ana'na se? aomor mennem taon, e?pasakola e? sakolaan se? semma' bi' romana
lombok ini meski kecil tapi sangat pedas.;cabbhi re?ya sala ke?ne?' tape? ce?' pe??hissa?
jangan-jangan menjadi angan-angan pikiran;la-sala dha?ddhi ba?ngenna pe?kke?ran
bau wangi bersebar kemana-mana.;ba?u ro'om asalambherra?n
datang dari jauh dengan keadaan selamat;?a?teng ?a?ri j ha?u ka laba?n salamet
shalat lima waktu;salat le?mang ba?kto
anjing yang galak itu menerkam betis orang yang lewat.;bhurus se? ghira?s rowa nyalbha?k bette?ssa? ore?ng se? le?ba?t
pengemis itu berpakaian sobek-sobek.;ore?ng emme?s rowa akalambhia?n bing-salbing
apa yang dikerjakan tidak beres;se? e?lakone? asalabudha?n
orang yang menonton kamaval kocar-kacir karena kuda yang menarik dokar terlepas dari talinya.;ore?ng se? ne?ngghu kamafal asalabudha?n amargha? jha?ra?n se? nare?k ?okar taocol ?a?ri tale?na
tidak pintar namun cerdik.;ba?nne? pe?nter sale?nter 
benang layangan ini jangan sampai dikusutka;bola' laja?ngan re?ya jha?' sampe?' pasale?ngka'
borok yang tidak kunjung sembuh-sembuh cepat di olesi salep.;poro se? ta' ra?s-ba?ra?s dhuli salebbhi
angin sepoi-sepoi terasa masuk perlahan-lahan ke tubuh.;ange?n ngalesser nyalepsep ka bha?dha?n
angin sepoi-sepoi terasa masuk perlahan-lahan ke tubuh.;ange?n ngalesser nyalessep ka bha?dha?n
perempuan itu sering menyela pembicaraan orang.;ore?ng bine?' rowa dhuja?nnyalko'an caca na ore?ng
sekarang sudah selesai.;samangke?n ampon lastare?
dari dulu dirimu menyembunyikan kata hatimu;kabit lamba?' dhika nyamaraghi cacana ate?na
memakai sarung terseret-seret.;ngangghuy sarong aba?r-samba?r
paman dan bibi menjenguk kemenakannya yang dirawat di rumah sakit.;ghutte? so bhibbhi' nyambha?nge? penakanna se? e?raba?t e? roma sake?'
jika dipanggil ibunya cepat menyahut supaya tidak dimarahi.;mon e?olok e?bhuna dhuli nyambhit ma' le? ta' e?ghighiri
tali yang putus itu selesai disambung.;tale? se? peggha?' rowa mare? e?sambhung
memangnya diberikan pada siapa?.;sambinna e?ba?ghi ?a?' sapa?
ayam yang makan padi di halaman dilempar dengan sapu.;aja?m se? nyocco' pa?i e? tane?yan e?sampat bi' posapo
membaca kitab hingga selesai;ma?ca ke?tab sampe?' mare?
menyewa tanah hingga tahun depan;nye?wa tana sampe?' taon ?ateng
makan urap sampai kekenyanga;ngakan raporap sampe?' kakennyangan
terlalu lama menjadi calon pegawai;sampe?r fajhu e?sampayan 
mandi berkeramas menggunakan sampo.;man?i atolo ngangghuy sampo
jika ada perlu baru meminjam;san ba??a? parlona bhuru pas nge?njha?m
jika sudah pulang baru diperbincangkan;san la mole? bhuru e?rasane?
jika sudah selesai bekerja cepat berikan upahnya.;san la mare? alako dhuli ba?ghi opana
walaupun segala pengharapan namun dirimu tetap ada di hatiku.;sanajjha?n sakabbhina pangarebbha?n tor jha?njhi pon la se?rna salanjha?ngnga, lamon dhika pagghun ba??a? e? ate? bula?
bersandar ke tembok;asan?a?r ka te?mbo'
jika dipangil ibunya cepat datang;mon e?olok e?bu'na dhuli nyandher
mengerjakan sesuatu yang berbahaya dan mendapati kecelakaan dan kesulita;nyandher ka apoy 
mendampingi orang yang hampir mati;nyan?hinge? ore?ng se? para' mate?a
rambut yang terbakar hangus berbau sangit;obu' se? taobbha?r sampe?' angos aba?u sange?t
nasinya berbau sangit karena hangus.;nase?'na aba?u sange?t polana angos
kamu dikira pulang hari kemari;ba?'na e?sangghu mole? ba?ri'
menyangrai kopi kemudian ditumbuk sampai halus;nyangngar ghubhi lajhu e?toto sampe?' alos
tidak disangka akan bertemu dengamu, tercenung lalu saling tersenyum.;ta' e?sangka se? tatemmoa so dhika, begeggennan lajhu pas pa?a? me?sem
anak yang nakal itu sering merampas kepunyaan temannya.;kana' se? tambeng rowa dhuja?n nyangkraan an?i'na kanana
benang layang-layang mengelantung ke pohon asam;bola'na laja?ngan nyanglar ?a?' ka'-bhungkaan accem
jaringnya terkait ke batu karang;jha?ringnga tasanglat ?a?' ba?ta karang
duduk bersilang kaki.;toju' asangle?' soko
anaknya yang paling kecil merengek-rengek minta sangu yang lebih banyak.;ana'na se? pale?ng ke?ne?' nye?'-ngare?nye?' me?nta sango se?jhung ba?nnya'an
enak dan menarik bunyi anak yang menabuh kendang.;sannyak monye?na kana' se? nabbhu ghen?ha?ng
saya menemukan kulit ular yang sudah berganti kulit di lubang yang ada dibawah pepohona;se?ngko' nemmo kole?'na olar se? asanolodha?n e? loba?ng se? ba?ga? e? ba?ba?na ka' bhungkaan
sapi karapan kencang berlarinya.;sape? kerrabha?n santa' pabunma
aliran air terjun sangat deras.;ghilina ae?ng tanca' ce?' santerra
burung elang itu menyambar anak ayam yang berkumpul dengan induknya;mano' se?ka' rowa nyaop pe?te?' se? apolong hi' korbhina
biasanya saya makan sahur jam tiga lebih sepermpat.;biyasana se?ngko' asaor pokol tello' le?ba?t saparapat
siapapun boleh saja datang ke rumahku.;pase?raa bisaos ta' aponapa ke?nge?ng rabu ka compo' kaula?
orang yang bersembahyang di masjid bersaf-saf banyak.;ore?ng se? abha?ja?ng e? se?ghit rowa asa-sap ba?nnya'
siapa yang datang lebih awal?;sapa se? ?a?teng gha?llua?n?
kamu anaknya siapa?;ba?'na ana'na sapa?
siapa yang mendapat untung?;sapa se? olle? ontong?
siapa saja harus hormat kepada orang tuanya;sapaa bha?i kodhu hormat ?a?' ore?ng seppona
bila disapa temannya cepat menyahut agar tidak dikira sombong.;mon e?sapa kancana dhuli nyambhit, ma'le? ta' e?sangghu angga?'
jam berapa anda datang?;pokol sapanapa sampe?yan rabu?
berapa kilometer jauhnya?.;sapanapa kilome?ter jha?una?
selesai digembalakan sapinya cepat dimasukkan ke kandang;mare? e?owan sape?na dhuli e?pamaso' ka kan?ha?ng
dilukiskan kepada suatu perceraian suami istri, sedangkan anaknya banyak.;akan?a po-sapo peggha?' se?mpayya 
mohon maaf yang sebesar-besarnya jika saya mempunyai salah penutura;nya'on sapora se? raja?-raja? e?pon manabi kaula? anggha??hua?n sala pe?totoran
berterbangan terbawa kemana-mana.;nyapsap ?a?' man?imman
ayam yang mencucuk padi dilempar dengan sapu lalu terbang melesat ketakuta;aja?m se? nyocco' pa?i e?sampat bi' po-sapo lajhu buru sap-nyapsap
lukanya parah, cepat bawa ke rumah sakit.;lokana ce?' sarana, dhuli ke?ba? ?a?' roma sake?'
memperbaiki mesin ini sangat sulit.;mabecce?' messin re?ya ce?' sarana
permisi saya hendak pularig.;nyara kaula? pale?manna
bila musim kemarau banyak tanah yang bedebu-debu.;mon mose?m ne?mor ba?nnya' tana se? bu-nyarbu
barang yang seperti ini sulit untuk mencarinya;bha?ra?ng tongghella? re?ya malarat re?-sare?na
mecari-cari kesalahan orang lain;re?n-yare? alana ore?ng lae?n
bila dicari tidak ketemu, bila tidak dicari diketemukan;mon e?sare? ta' e?temmo, mon ta' e?sare? e?temmo
ayah membaca koran sambil tidur-tiduran;rama maos koran sambi re?n-sare?nan
bermain dengan temannya.;amae?n sareng kancana
meniup api di tungku;nyare?po apoy e? tomang
nasi yang masih panas cepat ditiup agar ditigin dan bisa cepat dimaka;nase?' se? ghi' panas dhuli sare?po ma'le? cellep pas bisa ceppet e?kakan
menangkap burung pipit;nyarghep mano' keddhi'
jawabannya serupa dengan jawaban ayah.;ja?wa?bha?nna saroba? hi' ja?wa?bha?nna rama
bila bekerja jangan sembaranga;mon kon-lakon jha?' ba?n-sar'omba?n
menyerobong api tungku agar tidak cepat mati.;nyaropong apoy tomang ma'le? ta' cep pet mate?
menyeruput kopi yang panas.;nyaropot ghubhi se? panas
itu ombak bagaikan gerakan anak sapi.;rowa' omba?' sasat ghulina ja?gir
pakaian kotor yang menumpuk itu belum dicuci semua.;kalambhi kotor se? nombhuk rowa ghi' ta' e?sassa kabbhi
sate ayam sangat cnak, bumbunya kecijp dicampur kacang;sate? aja?m ce?' nyamanna lappana ke?cap e?campor kacang
sate berurat-urat, lontong sisa hari kemarin, jika tidak punya uang jangan mendekat, terlanjur duduk tidak akan diberi.;sate? ra' -ora' , lontong kare?na ba?ri' , mon ta' an?i' pe?sse? jha?' ara' -para', kare? ne?ngkong ta'  e?berri' 
sangat lama yang menunggu;ce?' abiddha? se? a?a?nte?'
yang menunggu percuma, terlanjur lama yang mengharapka;se? a?a?nte?' parcoma kare? abit se? ngarepaghi
yang kaya bertambah kaya, yang miskin bertambah miski;se? soghi tamba? soghi, se? me?ske?n atamba? me?ske?n
murid-murid yang selesai berupacara lalu berlarian duduk dibangkunya masing-masing.;re?dmore?d se? mare? upacara aberka' lajhu tojhu' e?bangkuna ba?ng-se?ba?ng
dari sebab apa.;ga?ri sebba?b apa
kakinya luka menganga lebar karena tertusuk pecahan kaca.;sokona sebba?k polana tacoco' bhelling
yang telah tersebut diatas;se? ella e?sebbhut e?attas
mcnyebut dengan nama Allah;nyebbhut kalaba?n asma e?pon Alla
orang yang sudah hampir mati diajari menyebut nama Allah;ore?ng se? sanget e?ajha?ri nyebbhut asma Alla
lengannya merah membengkak terkena kibasan rotan;lengngenna male?n?a?ng e?kenne?ng se?bheddha?n panjha?lin
bahunya luka menganga lebar terkena kibasan celurit waktu bercarok.;bha?una sebba?k kenne?ng se?bhet are?' ba?kto acarok
olahan makanannya sangat enak, rasa manisnya pas benar.;la-olana ce?' nyamanna, rassa mane?ssa? se??hengngan
awalnya tidak mau, ketika sudah selesai, akhirnya mau juga.;a?'-?a?'na ta' en?a?', se??heng ella mare?, totoggha? en?a?' ke?ya
pacarnya tidak cantik, wajahnya sedang-sedang.;bha?kalla ta' raddhin, roba?na ?heng-se??heng
saya sedih memikirkanmu.;bula? se??hi me?kke?r dhika
rumahku didekat kantor kecamatan;tang roma e?seddhi'na kantor kacamadha?n
menyentuh pada kulitnya yang putih;nyeddhing ka kole?'na se? pote?
orang tuanya meninggal dunia tiga tahun yang lalu.;ore?ng seppona ampon se?dha? tello taon se? tapongkor
jika panas-panas seperti ini paling enak minum es kelapa muda agar mulut berasa segar;mon nas-panas mara re?ya pale?ng nyaman nge?nom e?s beggha?n ma'le? colo' arassa seggher
sayuran yang dibeli masih segar-segar.;gha?ngan se? ebelli ghi' gher-seggher
bila jumatan orang-orang lslam bersembahyang ke masjid.;mon jhuma'adha?n re?ng-ore?ng e?slam pa?a? abha?ja?ng ka se?ghit
kakak beradik itu sering bertengkar;kaka' ale?' rowa segghut atokar
jika tidak mau ambil semuanya;mon ta' en?a?' kala' sekale?
segala sesuatu diibaratkan kepada dirinya;e?se?kot ?a?' aba?'na dhibi · 
banyak bicara tapi kerja tidak ada.;tao nye?kot ta' tao ajha?i' 
orang yang naik mobil penuh bersesak-sesaka;ore?ng se? nompa' ken?araan possa' asek-seksek
banyak orang berbincang-bincang di surau sambil bersila;ba?nnya' ore?ng a?ha?-kan?ha? e? langgha?r sambi ase?la
menuang air pada mangkuk;nye?le?n ae?ng ?a?' kobhugha?n
rambutnya ada kutunya, terasa gatal lalu cepat minta untuk diselisik kepada ibunya.;obu'na akotoan, arassa gha?tel pas dhuli me?nta selle?' ka e?bu'na
jika nakal nanti akan disentil telinganya.;mon tambeng ?a?gghi' e?selte?'a kope?ngnga
memohon maaf sampai menyembah-nyembah;nyo' on sapora dha?gha? bha?-nyembha?
rumahnya agak jauh juga dari rumahku;romana semmo jha?u ke?ya ?ari tang roma
hujan deras tadi malam banyak mematahkan dahan pepohonan;ojha?n dherres malemma ba?nnya' masempal cangkana ka'-bhungkaan
karena jatuh dari memanjat, lengannya yang kiri patah.;amargha? labu ?a?ri anae?', lengngenna se? kace?r sempal
ini bukan cincin emas, tapi cincin sepuha;are?ya ba?nne? sella' emmas, tape? sello' sempoan
makan menggunakan sendok;ngakan ngangghuy se?n?o'
tidak ada ikatan sanak famili sama sekali.;ta' ba?u sen?u' ta' ba?u ce?n?ong 
awas ada ular;se?nga' ba?ga? olar
awas jangan sampai lupa;se?nga' jha?' sampe?' loppa
awas jangan sampai terlambat.;se?nga' jha?' sampe?' tellat
saya belum mengerti;se?ngko' ghi' lo' ngarte?
jika saya pulang seharusnya sudah selesai semua.;mon se?ngko' mole? kodhuna la mare? kabbhi
sangat menyenangkan menonton hiburan musik.;ce?' sennengnga ne?ngghu orke?s
guru yang suka membentak-bentak tidak disenangi oleh murid-muridnya.;ghuru se? dhuja?n tak-sentagha?n ta' e?kasennengnge? bi' re?d-more?ddha?
bersifat pemurah dan pengasih.;ase?pat mora tor ase?
