Indonesia,Madura
di katakakepada ora ya tidak memerlukapertoloaora lai,ta' mèa jhuma' 
jaadoro-doroai jatuh,jhâ' ka'-jhuka'aḍâgghi' labu
kakek saya berjaladeamemakai tokat.,emba lakè' kaulâ alomampa aghem jhukat 
luruskahatimu k!,pajhuro atè '!
mobil ya ebut tadi itu jatuh ke jura ya dalam,motor sè ebbut ghellâ' rowa ghâgghâr ḍâ' jhurâ sè ḍâlem
juru tulis,"jhuru tolès , jhuru serrat "
belum terjual,ghi' ta' tajhuwâl
jual saja supaya pua ua,jhuwâl rapa ma'lè ai' pèssè
saat disayakajika sampai terjual,èmaoghu sè èjhuwâllâ
jilid ya pertama.,jilit sè kapè sètto
rumaha telah roboh.,roma la jugruk
makaterus tidak berhei-hei.,ajuljul sè akan
mau pergi ke pasar,èarra ka pasar
ke sebelah pigir,ḍâ' ka pèghir
khawatir datakut dilupakan,kabâtèr tor tako' èkaloppaè
Oh Tuhakabulkaah permohohambaMu i.,gu Paerakabbhulaghi pao'oa dhi dhâlem 
kuci berewok itu sudah dikebiri.,kocè gârâmbis rowa èkabhiri
pada permulaai saya memuji sukur ke hadirat Allah ya meuasai alam semesta.,kabidhâbhâdhâkaulâ amojjhi sokkor ka ajuAllah sè morbhâ jhâghât
mulai tadi tidak kuu meauk,kabit ghellâ' ta' ghellem katou
tidak baak selisiha,ta' bâya' kacègghâ
harga ikadora deaikabae tidak beda baak.,arghâ jhuko' la'bâ bi' jhuko' bhâhe ta' kacèk bâya'
biasaa kalau ak kecil kei pesa mega.,biasa ka' lakè' kè̀' moakemmè pellèrra pas ace
"kalau makajaamegukataakiri, itu tidak baik k!.","moakajhâ' aghuy ta kacér, jârèya ta' bhâghus co!"
"baak sekali, peh sekali.",sakaddhu' ra' ra'
"bagaima, seperti apa","kadhi pepa , bârâmma "
"begi, seperti i","kadhi ka'ḍio , bâriyâ , ḍâ' iyâ "
"belum juga usai, tidak juga usai.",ta' kaḍhik lobâr
ibu saat teikejut setelah meear aka sudah megal kare peakit ya dideritaa,èbhu cè' kaghiddhâ salastarè mère jhâ' pottra sèḍhâ amarghâ paakèt sè èkasahâ
pula saja ah!.,molè bhâi kah!
bila memukul jaaterlalu keras,momokol jhâ' jâ-kajâ
pada saat itu juga.,kala pàka jhughân
deamemuj i rasa syukur ke hadirat Allah.,kalabâamojjhi sokkor ka ajuAllah
dauya jatuh berserakakema-ma.,ḍâua ghâgghâr akalarkaran
tiga kali dua sama deaem.,tello' kalè ḍuwâ' paḍâ sare eem
adikku sudah dua kali berkuu ke rumahmu mutidak perh bertemu.,ta alè' ella ḍu kalè èar ḍâ' roma bâ' tapè ta' ḍhik atemmo
tidak tahu sama sekali,ta' tao sama sakalè
perahua karam di laut.,parao kalebbu è tasè'
biasaa saat kal tapi sekara pura-pura kalem.,biyasa cè' kalla tapè satèya lemmakalem
bau ketiaka saat apek.,bâu kalèmoa cè' amea
dikatakakepada seora wata ya berjalagemulai diibaratkaseda meti be.,pajhâlâa ̀tèr kalè 
bau ketiaka saat apek.,bâu kalèabbhâ cè' amea
"meear ibua megal dua, ak itu lasu pisa","èḍi èbu' adhighâl omor, ka' rowa pas kaleer"
aka ya kecil mia jalajalaik sepeda,a' sè kè̀' mèa jâr-kalèâr mpa' sapèḍa
"tepat hari libur, ak-ak sekolahaberlibur ke pulau Bali.","teppa' arè prèi, '-ka' sakolaaakalèâr ḍâ' polo Bhâli"
polisi memborgol mali ya tertakap di pasar.,polisi alèo malè sè ètakep  pasar
"mia maaf, saya kelupaan","o'osapora, abdhi ka.kalèbhân"
jaasampai lupa.,jhâ' kaos kalèp
"setelah air ditambak surut, baak ikamegelepar-gelepar.","saella aè è tambhâ' sorot, bâya' jhuko' apek-kaleppegghân"
dauya jatuh berserakakema-ma.,gâua ghâgghâr akalèrkèran
bautidur lalu megeliat-geliat,jhâghâ tèḍu pas akalèya'
"sa, kalau disuruh-suruh segera cepat dikerjaka","kalla, moèro-soro dhuli lakò"
toplesa ditutup ya rapat i krupuka jadi melempem.,"galbassâ totop sè rapet ḍâgghi, kropok kalmet"
Trujoyo sudah tersohor sebagai pahlawaMadura.,Trujoyo ampokaalok pahlawaMadhurâ
k sudah piku,emba bì' ella alolè
kerapasapi sudah kesohor di maa gara.,kerrabhâsapè ampokaloa è maa ghârâ
air ya ditaruh di to itu sampai meluap-luap.,aè sè èsabâ'è to rowa dhâghâ wa-alowa
sudah diberi tapi masih juga ambek.,marè èberri' tapè ghi' ambhul bhâi
heak pergi kema,èarra ka kamma
sampaha cepat dibakar di tempat pembakara,sarpa'aa dhuli obbhâr è kampoan
kalau makamegukataaka,moakaaghuy ta kan
bua kea dacempaka memehi pekaraa,kembhâ kaa bâgempaka mossa'è palataran
aka sapi dimasukkake dalam kaa.,jâgirrâ èpamaso' ḍâ' kahâ
ora ya teraaya,orè sè kàajâ
haa dirimulah ya selalu kuriu.,coma dhika sè èkaea
kesi jaaberpiah-piah,kaa' jhâ' lè-allè
coba kemari sebear saja.,jhâjhâl ḍâ' kaa' sakejjhâ' bhâi
makidipaa semakitampak kecaikaya.,sajâèpahe sajâkaara raddhia
kepa aa tidak ke si?.,apè dhika ma' ta' ka kao?
mari berikapada saya.,torè pa ka ao
kaor polisi,"kaor polèsi, kaor plisi"
jaasampai lupa,jhâ' kaos kalèp
jaasampai kepikiran,jhâ' k.aos kèr-pèkkèran
jaasampai keliru.,jhâ' kaos kalèro
"asalkabisa sembuh k, ayo cepat sembuh, aku akaberkaul membuat tumpe dua ogok jika kamu bisa tidur sebear saja.","asal bârâs ', mara dhuli bârâs sèko' akaolla, arasolla ḍuwâ', sokkor ghellem tèḍu"
apabila diambil lalu berikalagi,kapaèkala' pas bâghi polè
jika mau pula bawakabukusai.,kapamolèa ghibâaghi bhukosârèya
ya ke lima,sè kapè lèma'
baal dakasura diisi deakapuk.,bhâal bâkasorra èèssèè kalabâkapo
sudah lumrah di Madura.,ampokappra è Madhurâ
ora tua itu merada-rada sambil meerit-jerit.,orè tuwa arowa ara'-kara' sambi awa1-µiwat
keraaa terbuat dari daukelapa.,karahâa èghâbây ḍâri ḍâua èyor
ora ya marah itu meomel-omel tidak karua,orè sè pegghel rowa am-araam ta' karowan
emas 24 karat.,emmas empa' lèkor karat
maga masak hasil pekarbitan,pao massa' karbèdhâ
mimakopiku masih tersisa seteah gelas,ta kopi ghi' akarè satea gellas
saya diberi sisa-sisa,sèko' èberri' rèkarè
lait cerah bia putih berkilau-kilauasaat iaha.,lagè' bhersè bia potè ḍhâp-areḍḍhâp cè' pema
buah ceai di deparumah berbuah lebat.,buwâ ceè è aḍâ'  roma apè-karèmpè
jika dihitu-hitu kemukiakamerugi.,"moè-karè, masè rogiâ"
ciiemas berkilau-kilaua,sello' emmassâ ap-kareap
aka mereek-reek mia dibelikamai,a' è'-arèè' mèa mellè èaèn
kripik beul,"karèpè' tales, karèpè' kombhâ"
saki dari maraha sampai gigia mekertak-kertak.,sakè ḍâri pegghellâ dhâghâ ret-aret
bia berkilau-kilaualait cerah memperiah alam.,bia tèp-arettèp laè' bhersè mapema alam
hati biu tidak karuakepikiran,atè bhio ta' karoakèr-pèkkèran
bakai tikus dipigir jalaitu dikerubuti lalat.,bhâµmga tèkos è pèghir jhâlâèkarobghudhi lala'
"biasaa jika telah malam baak amuk berkerubu, lebih-lebih jika selokaya tidak terawat.","biyasa mola malem reè, arobu, bi-lebbi molèkè ta' karabât"
berasa diwadahi karu.,bherrâssâ èbâḍḍhâi karo
di w~ pagi ayam jaasama-sama berkokok sali bersauta,è bâjâ lagghu ajâm lakè' paḍâ akaroo' ot-saodhân
setelah berlari-lari tubuhku terasa li-li semua.,marè ka'-berka'ata bhâdhâarassa o-aroo kabbhi
kalau mema bera jaakeroyoka,molakar bâal jhâ' aroyo'an
patuh datuuk terhadap keheak Allah.,magu' ka karsa Alla
biarka saya ya akaberakat.,"karsa, kaulâ sè mèyossa"
berjemur diri di tepi paai.,akarta è pèghir sèrè
uaa dicatat di buku kas.,pèssè è catet è buku kas
tidak bersuara tahu-tahu berkeut.,lo' akasa' temmo pas akeo'
kasar seperti paruta,kasar akaa rot-parot
ora ya berbaju hitam itu sudah jelek lagi saat kasar tikah lakua.,orè sè akalambhiâcelle rowa sala jhubâ' ghi' cè' kasarra tèka pola
kodaujambu itu mempuai khasiat.,oca' èpoḍâua jhâmbhu pàka aghâḍhuâkasèyat
tidur haa beralaskatikar.,tèḍu coma akasor tèker
sa kamu pula saja.,kassa bâ' molè bhâi
sa kamu pula saja.,kassa bâ' molè bhâi
"saya saat meesal telah melawaora tua, saya mau mia maaf agar tidak berdosa.","sèko' cè' kasta ella alabâḍâ' orè towa, sèko' asaporaa ma' lèta' dhusa"
"dikatakakepada ora ya suka meru-ru atau berperilaku seperti ora ya jauh diatasa, sehiga kesusahabahkakebisaaya didapat.",kata' ̀hââ sapè 
mayita diusu megukakatil.,mayyiddhâ èoso aghuy katèl
daupepaya berasa pahit.,ḍâua katès arassa paè'
kelihatadari daratan,katoa dâri tèghâan
baru saja tampak.,ghi' bhuru aton
kemarimalam rumah tuka becak terbakar.,bâri' malem roma toka beca' katon
kakak membawa oleh-oleh dari pasar.,kaka' èbâ lè-ollè ḍâri pasar
ya maha kuasa,sè maa kebâsa
ora Islam bila bersembahya mehadap ke kiblat.,orè èslam moabhâjâ aḍḍhep ka kèbblat
kakek merokok sampai asapa berkepul-kepul.,"emba aroko, kokossa sampè' bhul-kebbhulân"
bercepuk-cepuk di ombak ya dakal.,acak-kècak è ombâ' sè ca-raca
bumbu sate ayam ya ek adalah kecap dicampur kaca.,lappa sate ajâm sè ama kècap ècampor kaca
halamaya becek terke huja,tàyaa kecca èkeè ojhân
daraha keluar meleleh lalu keri agak keal.,ḍârâ kalowar alèllè pas kerrè abâk kecce
peemis itu memakai baju ya saat kotor.,orè emmès rowa aghuy kalambhi co-kecco
ak kal itu suka meuri maga di rumahku,ka' bheller rowa clhujâèco' pao è ta roma
baju ya dijemur dicuri mali.,kalambhi sè è jhemmor è kèco' malè
meadi seora lelaki jaapeecut.,dhâddhi rè lakè' jhâ' di'-keddi'
ak-ak remaja sekara baak ya ketagiharkoba.,'-ka' aoḍâdhâsatèya bâya' sè kedhâghiârkoba
meear,"èḍi , mèyarsa , mère "
"dikarekasudah sepuh, kakekku tidak bisa meear atau tuli","pola ella seppo, ta emba ta' bisa èḍi otabâ ghupek"
meium bau bakai,èḍi bâu bhâṭa
bila pua kekuasaajaaterlalu kejam terhadap ora ya tidak berpua.,"moai' kakobâsaajhâ' jem-kejjem ḍâ' orè sè ta, ai'"
ak kecil ya iusaitu sebear-sebear is melulu.,ka' kè̀' sè amèro'arowa jhâ'-sakejjhâ' ès malolo
gergajia kikir lagi supaya lebih tajam.,gherghâjhi kèkèr polè sopajâ lebbi tajhem
"ja suka megigit jari, itu tidak baik.","jhâ' èkkè'aghrighi', jârèya ta' bhâghus"
"aka baru saja selesai kei, ayo cepat diceboki agar tidak gatal.","bhâji' ghi' bhuru marè akemmè, dhuli mara pas kèlaè ma'lè ta' ghâtel"
paaa kira-kira lima kila,lahâa ra-kèra lèma kèlan
kemariada ora mati di teah sawah kare terke sambarapetir,bâri' bâḍâ orè matè è tea sabâ amarghâ keè tappor kèlap
pohoka dibelaka rumah disambar petir.,bhuka ka è buḍi roma è tappor kèlap
kuat membeli tapi tidak bisa memakaia.,kellar mellè ta' kellar aghuy 
ora itu bila meela saat keterlalua,orè rowa moalè cè' elleddhâ
gadis Bali biasa meekakemba,orè bâbì' Bhâli biyasa akembean
aka telah lahir kembar laki-laki.,a' ella laèr kembhâr lakè'
bermaidi halamasaat bergembira ria.,amaèè tàyacè' kembhirâ
makast gore secara keroyoka,akasè' ghuri èkembhuli
"kare dimarahi, ak ya tidak bersalah itu tertahauuk meis.",pola èombhâ ka' sè lo' ai' sala rowa bikembiân
peruta kembu seri berkeut,tabu' kembu akeo'an
dima rumahmu dik?,kemma beo bâ' lè'?
"ma kuburuaci, ayo","kemma jhârâddhâ cè yu' koro' pahusa, kemma jhâlâtarès ro'a ka beko "
ikadi atas meja dihabiskasemua oleh kuci.,jhuko'è attas mèjâ èpakemmet kocè
mobil kakakku berwar hitam kemerah-meraha,mobillâ ta kaka' abâma kemomo
"kare sudah tidak mempuyai apa-apa lagi, terpaksa bapaka meempla hutaa.","amarghâ tagâ' sè èkaai' polè, kepaksa bapa' empla otaa"
mumpu masih muda rajiah bersembahya,po-po ghi' oḍâ pakee sè abhâjâ
tidak semaat bekerja.,ta' kee alako
buaa masih meuup belum mekar.,kembhâa ghi' èop ghi' ta' mekkar
"kare tidak mau disuruh-suruh, ak gadisa itu pura-pura sakit perut.","pola ta' eâ' èro-soro, a' bì' rowa ḍhâkèhâ sakè' tabu'"
"tidak adil, tidak meearkaperkara dari berbagai pihak biasaa coo meadi kericuhan",kehâ ètabbhu salajâ 
"lemah, lemas seperti ora belum maka dikatakakepada ora ya tidak bisa berbuat apa-apa kare ketidak tahuaya tea hal sesuatu.",mara kehâ ta' èsiḍa' 
mim air ya ada di kei saat diidasegar.,èm aè è kehi cè' cellebbhâ bâseggher
duduk-duduk sambil berdia,ju'-toju' sambi akèu
ora ya teraaya,orè sè kèàajâ
kalau ya i maaf tidak bisa.,mabi pàka sapora lo' kèè
ai ya berada dikuburaitu pada teah malam mego-go-gogo lama sekali.,bhurus sè bâḍâ è kobhurârowa è tea malem akèkè cè' abiddhâ
ke deda kare tidak kuat membayar,keè ḍhiâ pola ta' kowat majâr
buah i bisa dimakan,buwâ arèya keè kakan
ayama tidak bisa ditakap,ajâmma ta' keè pèghâ'
tidak bisa dipercaya,ta' keè èparcajâ
"dikarekalama tidak diobati, luka boroka terasa sakit berdeut-deut.","arrghâ abit lo' èobhâdhi, poro arassa sakè' aot-keyot"
jika baak makabiji ka teu akakeut terus-terusan,mobâya' akabighilâtao akeo'arosterrosân
"dikatakakepada ora ya semaua seiri, tidak memperdulikakeadaaora lai",mara orè akeo' 
saat lucu rambuta dikepa dua,cè' loco obu' èkèpa ḍuwâ'
hatiku tertarik akadirimu.,atè bulâ kepèot ka dhika
baaka murid baru ya masuk pada tahui kira-kira 35 ora,bâya' morèd aar sè maso' taorèya ra-kèra 35 orè
takkalupa akaseumaya,ta' kèra loppa marghâ pèsemma
jodoh damati ada ya meatur.,juḍhu bâpatè bâḍâ sè eraksa
ak kal itu jika dilawadeasuguh meadi tidak bera.,ka' kal rowa moèlabâsakalè pas kercet
kirimau sudah sampai?.,ta kèrèmaella ḍâpa'?
"rambut kakek putih semuaa, kulita sudah berkeriput.","obu' emba lakè' potè kakabbhi, kolè' ella ro'-kèro'"
karapasapi di Madura,kerrabhâsapè è Madhurâ
sudah tiba waktua disebelah sa sapi heak dikerap.,ella ḍâpa' satèya tèmasa sapè bhâkal èkerrap rowa' ghuè ḍissa
dagia Liat sulit uuk digigit.,dhâghia kerras ta' ghâmpa èkèkkè'
wataka mema keras hati,bâtegghâ lakar kerras
sesudah berlari-lariaeriata bercucura,marè ka'-berka'apello erray
biasaa jika masuk aisaya mia dikerok.,biyasa momaso' aè sèko' mèa kerrèk
malam-malam ak-ak meari ku-ku di rerimbupohobambu.,lem-malem '-ka' arè -ko è kerrean
"diwaktu musim kemarau, baak tumbuhameadi keri, suai juga keri.","è bâkto mosèm ̀mor, bâya' ka'-bhukaasè kerrè, soay kèrrè kèya"
bajua berkerut-kerut kare belum disetrika.,kalambhi aso'kerso' pola ghi' ta' èseddrika
Al-Quraadalah kitab ya harus dijadikapedomaoleh seluruh ummat Islam.,AlQuraèghi pàka kètab sè salerressâ ahâddhiaghi pahumamoghu ḍâ' sadhâjâ ommat èslam
kuah ya dimasak belum bercampur meatu.,kuwa sè èmassa' ghi' ta' ketket
"tiga hari tidak mai, tubuh kotor-kotor.","tello arè ta' mai, bhâdhâmo-ketomo"
tadi malam rumah temau terbakar.,malemmma roma ta kaa keton
awas ke terja.,sèa' keè kettè'
tadi malam saya megigil lcare sakit,sèko' malemma ter-ketterraamarghâ sakè'
jika bepergiajauh jaatakut-takut.,moajhâlâjhâu jhâ' tèr-kettèr
air di swr semuaa keruh.,aè è somor ketto kakabbhi
"bapaka paai, demikiajuga aka.","bâpa' pèer, a' pèer kèya"
"setelah meicipi buah asam ya saat kecut, mataa dipici-picika","saella èpcèbhi accem sè cè' cèlo', mata cer-kicerran"
berkilo-kilo jauha ya berjalan,alo-kilo jhâu sè ajhâlân
baju ya dipakai di rumah atau baju keseharia,"klambhi ma-roma, klambhi lasaran"
dauya jatuh berserakakema-ma.,ḍâua ghâgghâr aklarkaran
bau ketiaka saat apek.,bâu klèmooga cè' amea
bau ketiaka saat apek.,bâu klèabbhâ cè' amea
"meear ibua megal dua, ak itu lasu pisa","èḍi èbu' adhighâl omor, ka' rowa pas kleer"
aka ya kecil mia jalajalaik sepeda,a' sè kè̀' mèa jâr-klèâr mpa' sapèḍa
"tepat hari libur, ak-ak sekolahaberlibur ke pulau Bali.","teppa' arè prèi, '-ka' sakolaaaklèâr ḍâ' polo Bhâli"
polisi memborgol mali ya tertakap di pasar.,polisi lèo malè sè ètakep  pasar
"setelah air ditambak sumt, baak ikamegelepar-gelepar.","saella aè è tambhâ' sorot, bâya' jhuko' apek-kleppegghân"
dauya jatuh berserakakema-ma.,ḍâua ghâgghâr akalèrkèran
bautidur lalu megeliat-geliat.,jhâghâ tèḍu pas aklèya'
k sudah piku,emba bì' ella lolè
air ya ditaruh di to itu sampai meluap-luap.,aè sè èsabâ'è etto rowa dhâghâ wa-lowa
mau pergi kema dirimu dik?,èarra ḍâ' ko'amma dhika lè'?
mau pergi kema dirimu dik?,èarra ḍâ' ko'imma dhika lè'?
kamu mau kema?,ko' kammaa dhika?
mari kesi.,torè ḍâ' ko' kao
kesa.,ḍâ' ko' kassa
ya ma?.,sè ko' kemma?
tali ya terbuat dari kulit daueu,talè ḍâri kobâl
khawatir datakut terlupakan,"kobâtèr tor tako, kaloppaè"
"saya khawatir kepadamu, takut tidak mepati jai.","bulâ kobâtèr ka dhika, tako' lopot jhâhi"
sebelum makataaya harus dibasuh di kobokaya sudah disediaka,sabellua akataa kodhu abâcco è kobhughâsè èseḍiaaghi
biasaa jika lebaraora-ora baak pergi ke kuburauuk ekar,biasa motellasârè-orè paḍâ èar ḍâ' kobhurâkaaghuy lasè
dima-ma jika ada kuburamesti ada bua kamboja.,èmakammamobâḍâ kobhurâmastè bâḍâ kembhâ campaka moljâ
jika bersembahya memakai peci hitam.,moabhâjâ biasa aghuy kocca celle-
"jika bermairemi, siapa ya kalah semestia meocok.","moamaèrèmi, sapa sè kala kodhu occo'"
buru kutila jika diberi pakapisa berkicau terus.,ma' ketila moèberri' pakagheḍḍâ ocè terros
ora ya berjual rujak itu memakai ulek-ulek ya terbuat dari kayu.,orè sè ajhuwâl rojhâk rowa aghuy cek-kocek ḍâri kaju
"jika temau tidak bisa data, kamu harus bisa megaikaya.","mota kaa ta' ḍâdhe, abâ' kodhu bisa âèè"
kokohkaya berpegaan,pakoko sè ategghu'ân
kokoh tidak mudah goyah.,koko ta' ghâmpa kocak
"ayah merokok, asapa berkebul-kebul.","rama aroko', kokossâ bhul-kebbhulân"
suguh ek makasup kikil kambi.,amaoghu akasop kokoddhâ embè'
rokok klobot.,roko' kolè' jhâghu
peakit ibu kambuh lagi setelah setabulamaa sembuh.,paakèddhâ èbu' komat polè saella sataoabiddhâ sè bârâs
kacaa sudah dikupas.,kacaa marè èkombi'
saat sulit jika disuruh-suruh.,cè' komeddhâ moèro-soro
uaa disembuikadi sarua.,pessè èpet-kompet èsaroa
belum memiliki cucu,ghi' ta' ai' kompoy
cucua sudah bisa berjala,kompoyya ella bisa ajhâlân
adat ya sudah ku.,adhât sè ella ko
bua mawaya sudah mulai berkuup.,kembhâ mawarra ella molaè akoop
i sia adika dijemput di sekolahan,ḍâgghi' seya alè' kò'è è sakolaan
belum dijemput.,ghi' ta' èkò'è
jaasampai membuat saya kepikira,jhâ' kosè bulâ kèr-pèkkèran
pergi ke koaan,èar ka kohâan
bila masih terus meis i kau akadijewer teliaa.,moghi' ès terros ḍâgghi' bâ' èkopessâ kopèa
kare kehujabajuku basah kuyup.,pola kaojhâta klambhi kopo kabbhi
kamu jaaasal bicara,bâ' jhâ kor oca'
"asal saja kamu mau, akasaya lamar.","kor ghellem, bâ' bi' sèko' èlamarra"
ayah membaca koran,rama maos koran
tidak tahu,"kora prèksa , dhuka dhâlem , ta' ò , ta' tao "
kura satu.,"kora samighi, kora sabighi, kora sètto"
air di bak mai kuraskakare sudah kotor.,aè jegḍi korasaghi pola ella kotor
"supaya tidak lepas, ayama dikurui saja","ma'lè ta' buru, ajâmma koroè bhâi"
rumah dipigir jalaitu tidak berpehu,roma èpèghir jhâlârowa koso
"ayama berkotek-kotek, biasaa sudah bertelur.","ajâmma atak-kotak, biyasa ella atellor"
perempuaberduaaduduk-duduk sambil meelisik kutu dirambuta.,rè bì' wâ'-ḍuwâ'âu'-toju' sambi lè'-sellè' koto è obu'
heak pergi ke kota,èarra ka koṭṭa
ekor cicak itu sudah putus.,buo' cekcek rowa ella koṭṭo
bagaima ya dikataka,èkowa sè èkoca'aghi?
"begilah ya megoda ak ya tidak mau hidup sehat, sebagai pedomauuk segera berhati-hati.","èkowa sè uḍhâ, ka' ta' ghellem sè-bhersè, mèka pahumama' ghellis astètè"
dagi soto ya berapua,dhâghia soto akrambâan
ora ya marah itu meomel-omel tidak karua,orè sè pegghel rowa am-raam ta' karoan
muluta berbui kecap-kecapa,colo' amoè cak-kreccaghân
lait cerah bia putih berkilau-kilauasaat iaha.,lagè' bhersè bia potè ḍhâp-reḍḍhâp cè' pema
bukua rusak digigit tikus.,buku rosak èkrèkèdhi tèkos
kamara dicat war krem.,kamarra èeccèt bâma krèm
ciidijaria berkilauan,sello' èghrighi' ap-kreap
urat-urat meadi tega semuaa.,ra'-ora' teree kabbhi
uratku sepertia bergereut-gereut.,ta ora' kaḍi' apekrèpe
cahaya bia ya berkedip-kedip.,caja bia tèp-rettèp
bakai tikus dipigir jalaitu dikerubuti lalat.,bhâṭaa tèkos è pèghir jhâlâèkrobghudhi lala'
perut berbui kerooakare belum maka,tabu' amoè krooaamarghâ ghi' ta' akan
di waktu pagi ayam jaasama-sama berkokok sali bersahuta,è bâjâ lagghu ajâm lakè' paḍâ akroo' ot-saodhân
setelah berlari-lari tubuhku terasa li-li semua.,marè ka'berka'ata bhâdhâarassa o-roo kabbhi
kalau mema bera jaakeroyoka,molakar bâal jhâ' royo'an
buru gagak berkuar-kuar.,ma' ḍâḍâ wak-kuwaghân
h! kalau begi siapa ya salah,lai moḍâ' iyâ sapa sè sala
h! kare itulah saya tidak mau.,"la! maka, sèko' la' eâ'"
jika sudah selesai segera dikumpulkan,sala marè dhuli kompolaghi
kalau sudah usai cepat pula.,sala lobâr dhuli molè
jaadisisakan,la jhâ' pakarè
jaadiselesaika,la jhâ' pamarè
lho! saya kasudah bila,lâ sèko' kala marè oca'
lho! kok bisa ya?,lâ mè' bisa yâ?
pas-pas begi jika mim legesaat segar.,s-pas dâ' iyâ moèm la'a cè' seggherrâ
"kalau kamu mema meerti, jaadilade agar tidak meadi pertekaran",mobâ' lakar artè jhâ' la'jầ ma'lè ta' dhâddhi tokar
sudah suka marah malah semakidilade.,sala pegghellâmala sajâèla'jầ
tidak berpiu,ta' pa labâ
laidari pada ya lain,laèḍâri sè laèn
tidak ada ya laihaa dirimu ya mempeso,taḍâ sè laè coma dhika sè apèotè
bayia telah lahir deaselamat,bhâji' ella laèr kalabâsalamet
berlagak atau berperilaku seperti ora barat.,alagâ' mara rè bârâ'
bampir masak.,laghi' kora massa'
tiap pagi-pagi sekali saya sudah bautidur lalu shalat subuh,sabbhâghu-lagghu sèko' ella jhâghâ pas asobbhu
tadi saat masih pagi saya sudah didatai tamu,ghellâ' ghi' lagghu sèko' ella èḍâteè tamoy
esok hari saya akaberakat ke Bakalan,lagghu sèko' èarra ka Bhâkalan
esok hari lebih pagi ya mau ke pasar.,lagghua palagghui sè tjâ' pasarra
sekara hari Rabu besok hari Kamis,satèya arè rebbhu lagghu' arè kemmès
besok pagi-pagi sekali saya akamembeli ikadi pasar lama,lagghu' ghi' lagghu sèko' mellèa jhuko'è pasar laju
kelak jika sudah besar saya iibersekolah di Amerika.,ghu'-lagghu' mola rajâ terro asakolaa ka Amerika
taaya buu sebelah,taa kaṭṭo salajâ
kakia kurus sebelah,soko kiris salajâ
"ayo terbakalayaaya disebelah sa, saya ya akamerika lalu pagil aiya","mara ocol lajâaa ghuè ḍissa, sèko' sè ambhâdhâ pas olok aèa"
meju kema?,lajhu ḍâ' kamma?
setelah dipukul laas dibagaimakan,marè èpokol lajhu èpaḍâ'râmma?
pakaiasaya ya sudah usa oleh ibu diberikakepada ora miski,"ta gâe, orè gâe bâya' otaa kalambhi sè ju-laju bi' èbu' èbâghi ka orè mèskèn"
"mema begitu kalau sudah selesai, lalu pura-pura lupa uuk membayar","lakar ḍâ' iyâ moella marè, pas pamaloppa sè majârrâ"
mema begitu ya dimaksud,jhâ' lakar ḍâ iyâ sè èkamaksod
ber-ber kal ak itu.,lakar la mellè ka' rowa
"jaasuka membeli ikabae, ikabae baak tulaa, jaabersuamikaora tampa ora tampabaak hutaa","jhâ' mellèajhuko' bhâhe, jhuko' bhâhe bâya' tolaa, jhâ' alakèaorè "
dari dulu saya sudah meatakan,ḍâri lambâ' sèko' ella oca'
"kare seri tolah-toleh, rumah kamu sampai terlewati.",amarghâ segghut lè-tolèa dhâghâ telambhâs ḍâri roma bâ'
bajua tidak berfuri.,kalambhi ta' alamèn
saya dakakak setiap hari setelah shalat maghrib mesti meaji di surau Pak Mat,sèko' hi' kaka' sabbhâarè marè abhâjâ maghrib mostè ajhi è laghârrâ Pa' Mat
"sayur bayam ikaya tegiri, jika bera kesi, jika takut pergi saja.","ghâatar' ajhuko' laghu, mobâal kaa' motako' ohur "
ak itu saat tidak sopaterhadap ora ya lebih tua.,ka' rowa cè' laka ḍâ' sè towaan
jauh lebih baik bila tidak diambil,lako saè ta' èpohut
ak-ak sekolahaya bertekar itu oleh ora-ora dilerai.,'-ka' sakolaasè atokar rowa bi' rè-orè èlala
bere di suai,alaoy è soay
tidak tahu bere.,ta' tao alaoy
mudah-mudahapaa umur,ghâ-moghâ lahâ omor
bila mertik kaca paa pilih ya paa-paa,momeṭṭèk oto' pèlè sè jhâ-lahâ
"paaa jaadikurai, bea jaasampai kusut, sembahyaa jaajara-jara, meajia seseri muki","lahâa jhâ' pakora. beaajhâ' pasalbut, bhâjâa jhâ' ra-rara, ajhi pasegghut "
talia direakadi teah jala,talè èlaaè tea jhâlân
kamu kok saat laa.,bâ' ma' cè' laa'
kukua saat paa,koko cè' laègghâ
kukua dipelihara sampai memaa,koko èobu dhâghâ laèk
kukua ya paa diberi cat pewar.,koko sè laèk èberri' ghiṭèk
"ora kalau sudah tua, kata-kataa melaur tidak karua","orè moella towa, caca tor-alaor ta' karoan"
meski kecil tapi bera.,lapa' kè̀' tapè bâal
aaikabelum pula pasti kebagiakue.,lapa'a ghi' ta' molè mostè mèlo jhâjhân
peuri ya tertakap itu dilaporkake polisi.,malè sè èpèghâ' rowa èlaporaghi ḍâ' polisi
kalau selesai kei cepat disiram agar kamar maia tidak berbau pesi,momarè akemmè dhuli sèram ma'lè jeḍḍia ta' abâu lasè
ora ya berasal dari desa itu saat berbicara saat jelas datera.,orè ḍâri dhisa rowa bilâ ca'-oca' cè' laspadhi
sudah bertaa ke rumah aa.,lastarè mèos ka dhâlem èpopaheean
"bua melati, kea dacempaka memehi halamamuka rumah.","kembhâ malatè, kaa bâcampaka mossa'è palataran"
